#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
1,USA,"3,45,40,866",21,"6,20,250",1,"2,90,26,688",,"48,93,928","3,891","1,03,747","1,863","50,61,59,128","15,20,297","33,29,34,343"
134,Mayotte,"19,405",,174,,"2,964",,"16,267",6,"69,469",623,"1,76,919","6,33,360","2,79,334"
135,Eswatini,"19,084",,678,,"18,107",,299,10,"16,282",578,"2,25,813","1,92,656","11,72,106"
136,French Polynesia,"19,007",,142,,"18,851",,14,,"67,276",503,"26,355","93,284","2,82,524"
137,Haiti,"18,658",,436,,"12,847",,"5,375",,"1,617",38,"89,785","7,780","1,15,40,651"
138,Vietnam,"17,312",449,81,,"6,981",141,"10,250",,176,0.8,"84,34,266","85,880","9,82,09,548"
139,Papua New Guinea,"17,098",,173,,"16,518",,407,7,"1,876",19,"1,31,712","14,450","91,15,126"
140,Guadeloupe,"17,028",,230,,"2,250",,"14,548",23,"42,550",575,"2,26,329","5,65,551","4,00,192"
141,Seychelles,"15,579",,68,,"14,365",,"1,146",,"1,57,438",687,"21,504","2,17,315","98,953"
142,Somalia,"14,946",,775,,"7,246",,"6,925",,915,47,"1,50,573","9,220","1,63,31,909"
143,Taiwan,"14,853",50,661,13,"11,608",54,"2,584",,623,28,"21,82,211","91,460","2,38,59,714"
144,Mali,"14,426",,525,,"10,059",,"3,842",,693,25,"3,19,260","15,329","2,08,27,758"
145,Andorra,"13,918",7,127,,"13,721",1,70,,"1,79,847","1,641","1,93,595","25,01,615","77,388"
146,Togo,"13,917",,129,,"13,513",,275,,"1,643",15,"3,63,629","42,927","84,70,932"
147,Tajikistan,"13,499",,90,,"13,302",,107,,"1,385",9,,,"97,49,914"
148,Burkina Faso,"13,479",,168,,"13,301",,10,,628,8,"1,96,200","9,138","2,14,70,433"
149,Belize,"13,251",,329,,"12,654",,268,1,"32,736",813,"1,54,705","3,82,187","4,04,789"
150,Congo,"12,596",,165,,"11,211",,"1,220",,"2,228",29,"1,58,304","28,006","56,52,589"
151,Bahamas,"12,586",,246,,"11,544",,796,3,"31,704",620,"1,06,472","2,68,205","3,96,980"
152,Martinique,"12,374",,98,,98,,"12,178",1,"33,000",261,"2,00,461","5,34,598","3,74,975"
153,Curaçao,"12,342",,126,,"12,189",,27,4,"74,909",765,"1,36,140","8,26,288","1,64,761"
154,Hong Kong,"11,928",4,211,,"11,631",1,86,1,"1,578",28,"1,67,10,131","22,11,072","75,57,480"
155,Djibouti,"11,602",,155,,"11,443",,4,,"11,576",155,"1,72,602","1,72,211","10,02,268"
156,Lesotho,"11,416",72,329,,"6,457",10,"4,630",,"5,287",152,"1,13,636","52,630","21,59,142"
157,Aruba,"11,138",,107,,"11,001",,30,14,"1,03,883",998,"1,77,077","16,51,576","1,07,217"
158,South Sudan,"10,834",,117,,"10,514",,203,,957,10,"1,74,045","15,369","1,13,24,146"
159,Timor-Leste,"9,278",56,24,1,"8,425",65,829,,"6,907",18,"93,497","69,600","13,43,351"
160,Equatorial Guinea,"8,734",,121,,"8,521",,92,1,"6,030",84,"1,49,330","1,03,091","14,48,523"
161,Benin,"8,199",,104,,"8,000",,95,5,659,8,"6,04,310","48,588","1,24,37,511"
162,Nicaragua,"8,178",,191,,"4,225",,"3,762",,"1,220",28,,,"67,02,877"
163,CAR,"7,141",,98,,"6,859",,184,2,"1,453",20,"54,814","11,157","49,13,093"
164,Yemen,"6,920",,"1,361",,"4,068",,"1,491",23,227,45,"1,09,771","3,602","3,04,76,950"
165,Iceland,"6,649",,30,,"6,596",,23,1,"19,360",87,"7,67,476","22,34,627","3,43,447"
166,Gambia,"6,079",,181,,"5,858",,40,3,"2,447",73,"82,460","33,199","24,83,835"
167,Eritrea,"6,009",,23,,"5,512",,474,,"1,671",6,"23,693","6,590","35,95,172"
168,Sierra Leone,"5,575",,100,,"3,522",,"1,953",,685,12,"1,55,709","19,134","81,37,819"
169,Niger,"5,489",,193,,"5,206",,90,2,219,8,"1,18,441","4,724","2,50,71,496"
170,Burundi,"5,452",,8,,773,,"4,671",,445,0.7,"3,45,742","28,245","1,22,40,966"
171,Saint Lucia,"5,296",,84,,"5,121",,91,,"28,711",455,"53,672","2,90,965","1,84,462"
172,San Marino,"5,091",,90,,"5,000",,1,,"1,49,726","2,647","68,523","20,15,264","34,002"
173,Chad,"4,951",,174,,"4,769",,8,,293,10,"1,25,775","7,446","1,68,92,078"
174,Fiji,"4,849",431,24,3,918,36,"3,907",21,"5,370",27,"2,02,800","2,24,608","9,02,908"
